date,gold,fx,cpi,oil,set,btc,gold_next,gold_lag1,gold_lag3,gold_roll7_mean,gold_pct_change,fx_lag1,fx_lag3,fx_roll7_mean,fx_pct_change,cpi_lag1,cpi_lag3,cpi_roll7_mean,cpi_pct_change,oil_lag1,oil_lag3,oil_roll7_mean,oil_pct_change,set_lag1,set_lag3,set_roll7_mean,set_pct_change,btc_lag1,btc_lag3,btc_roll7_mean,btc_pct_change
2025-04-30,51900.0,33.7522,100.14,3.665642857142857,1197.260009765625,94207.3125,51100.0,52400.0,52450.0,52714.28571428572,-0.009541984732824416,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1171.1199951171875,1159.0,1161.655726841518,0.022320526297411325,94284.7890625,94720.5,94182.30691964286,-0.0008217291810309613
2025-05-01,51100.0,32.9462,100.4,3.651183673469388,1197.260009765625,96492.3359375,51100.0,51900.0,52300.0,52235.71428571428,-0.015414258188824692,33.7522,33.7522,33.637057142857145,-0.02387992486415713,100.14,100.14,100.17714285714285,0.0025963650888756185,3.665642857142857,3.665642857142857,3.6635772594752187,-0.003944515119713388,1197.260009765625,1159.530029296875,1169.2571498325892,0.0,94207.3125,94978.75,94618.08482142857,0.02425526614507767
2025-05-02,51100.0,32.9462,100.4,3.651183673469388,1198.97998046875,96910.0703125,51650.0,51100.0,52400.0,52007.142857142855,0.0,32.9462,33.7522,33.52191428571428,0.0,100.4,100.14,100.21428571428571,0.0,3.651183673469388,3.665642857142857,3.6615116618075803,0.0,1197.260009765625,1171.1199951171875,1175.7157156808037,0.001436589119402587,96492.3359375,94284.7890625,95076.79352678571,0.0043291974532626565
2025-05-05,51650.0,32.9462,100.4,3.651183673469388,1198.97998046875,94748.0546875,52300.0,51100.0,51900.0,51842.857142857145,0.010763209393346296,32.9462,33.7522,33.406771428571425,0.0,100.4,100.14,100.25142857142858,0.0,3.651183673469388,3.665642857142857,3.659446064139942,0.0,1198.97998046875,1197.260009765625,1183.1614292689733,0.0,96910.0703125,94207.3125,95191.6875,-0.022309504244793943
2025-05-06,52300.0,32.9462,100.4,3.651183673469388,1187.8599853515625,96802.4765625,52400.0,51650.0,51100.0,51821.42857142857,0.012584704743465736,32.9462,32.9462,33.29162857142857,0.0,100.4,100.4,100.28857142857143,0.0,3.651183673469388,3.651183673469388,3.6573804664723033,0.0,1198.97998046875,1197.260009765625,1187.2842843191963,-0.009274546112804982,94748.0546875,96492.3359375,95489.11272321429,0.02168299794413664
2025-05-07,52400.0,32.9462,100.4,3.651183673469388,1220.27001953125,97032.3203125,52000.0,52300.0,51100.0,51835.71428571428,0.0019120458891013214,32.9462,32.9462,33.17648571428571,0.0,100.4,100.4,100.32571428571428,0.0,3.651183673469388,3.651183673469388,3.6553148688046653,0.0,1187.8599853515625,1198.97998046875,1195.96142578125,0.027284389220414207,96802.4765625,96910.0703125,95782.47991071429,0.0023743581586117557
2025-05-08,52000.0,32.9462,100.4,3.651183673469388,1206.5899658203125,103241.4609375,51950.0,52400.0,51650.0,51778.57142857143,-0.007633587786259555,32.9462,32.9462,33.061342857142854,0.0,100.4,100.4,100.36285714285715,0.0,3.651183673469388,3.651183673469388,3.653249271137027,0.0,1220.27001953125,1198.97998046875,1201.028564453125,-0.011210677548394221,97032.3203125,94748.0546875,97062.00446428571,0.06399043746457878
2025-05-09,51950.0,32.9462,100.4,3.651183673469388,1210.93994140625,102970.8515625,51000.0,52000.0,52300.0,51785.71428571428,-0.0009615384615384581,32.9462,32.9462,32.9462,0.0,100.4,100.4,100.4,0.0,3.651183673469388,3.651183673469388,3.651183673469388,0.0,1206.5899658203125,1187.8599853515625,1202.9828404017858,0.0036051813036419578,103241.4609375,96802.4765625,98313.93861607143,-0.002621130818400763
2025-05-12,51000.0,32.9462,100.4,3.651183673469388,1210.93994140625,102812.953125,51200.0,51950.0,52400.0,51771.42857142857,-0.018286814244465877,32.9462,32.9462,32.9462,0.0,100.4,100.4,100.4,0.0,3.651183673469388,3.651183673469388,3.651183673469388,0.0,1210.93994140625,1220.27001953125,1204.9371163504463,0.0,102970.8515625,97032.3203125,99216.88392857143,-0.0015334284907234652
2025-05-13,51200.0,32.9462,100.4,3.651183673469388,1214.3900146484375,104169.8125,50900.0,51000.0,52000.0,51785.71428571428,0.0039215686274509665,32.9462,32.9462,32.9462,0.0,100.4,100.4,100.4,0.0,3.651183673469388,3.651183673469388,3.651183673469388,0.0,1210.93994140625,1206.5899658203125,1207.1385498046875,0.002849086997808392,102812.953125,103241.4609375,100253.98995535714,0.013197358248725033
