date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7_mean,gold_pct_change,fx_lag1,fx_lag3,fx_roll7_mean,fx_pct_change,cpi_lag1,cpi_lag3,cpi_roll7_mean,cpi_pct_change,oil_lag1,oil_lag3,oil_roll7_mean,oil_pct_change,set_lag1,set_lag3,set_roll7_mean,set_pct_change
2024-08-06,39764.68,34.7568,100.94,3.851561224489796,1274.010009765625,39628.24,39719.2,40158.84,39966.09142857143,0.0011450381679389832,34.7568,34.7568,35.418214285714285,0.0,100.94,100.94,100.9057142857143,0.0,3.851561224489796,3.851561224489796,3.8863527696793008,0.0,1274.6700439453125,1322.75,1302.952845982143,-0.0005178078694346722
2024-08-07,39628.24,34.7568,100.94,3.851561224489796,1290.550048828125,39385.68,39764.68,40355.92,39931.44,-0.0034311856652687878,34.7568,34.7568,35.197742857142856,0.0,100.94,100.94,100.91714285714285,0.0,3.851561224489796,3.851561224489796,3.8747555879494655,0.0,1274.010009765625,1313.0799560546875,1300.5728585379463,0.012982660211235508
2024-08-08,39385.68,34.7568,100.94,3.851561224489796,1296.25,39673.72,39628.24,39719.2,39862.137142857144,-0.006120887528691554,34.7568,34.7568,34.97727142857143,0.0,100.94,100.94,100.92857142857143,0.0,3.851561224489796,3.851561224489796,3.863158406219631,0.0,1290.550048828125,1274.6700439453125,1298.8814348493304,0.004416683550592104
2024-08-09,39673.72,34.7568,100.94,3.851561224489796,1297.0699462890625,39916.28,39385.68,39764.68,39812.32571428571,0.007313317936874508,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1296.25,1274.010009765625,1295.4828578404017,0.000632552585583479
2024-08-12,39916.28,34.7568,100.94,3.851561224489796,1297.0699462890625,40113.36,39673.72,39628.24,39777.67428571428,0.006113870844478342,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1297.0699462890625,1290.550048828125,1291.8142787388392,0.0
2024-08-13,40113.36,34.7568,100.94,3.851561224489796,1297.7900390625,40067.88,39916.28,39385.68,39743.02285714286,0.004937333839726499,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1297.0699462890625,1296.25,1289.6300048828125,0.0005551688060445592
2024-08-14,40067.88,34.7568,100.94,3.851561224489796,1292.68994140625,39916.28,40113.36,39673.72,39792.83428571428,-0.0011337868480726376,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1297.7900390625,1297.0699462890625,1292.2042759486608,-0.00392983264067448
2024-08-15,39916.28,34.7568,100.94,3.851561224489796,1289.8399658203125,40022.4,40067.88,39916.28,39814.491428571426,-0.003783579265985604,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1292.68994140625,1297.0699462890625,1294.4656982421875,-0.0022046861313372856
2024-08-16,40022.4,34.7568,100.94,3.851561224489796,1303.0,40022.4,39916.28,40113.36,39870.799999999996,0.002658564375237482,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1289.8399658203125,1297.7900390625,1296.2442626953125,0.010202842622664354
2024-08-19,40022.4,34.7568,100.94,3.851561224489796,1323.3800048828125,40022.4,40022.4,40067.88,39961.76,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1303.0,1292.68994140625,1300.1199776785713,0.015640832603846855
