date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7,gold_pct,fx_lag1,fx_lag3,fx_roll7,fx_pct,cpi_lag1,cpi_lag3,cpi_roll7,cpi_pct,oil_lag1,oil_lag3,oil_roll7,oil_pct,set_lag1,set_lag3,set_roll7,set_pct
2024-08-16,65764.08,34.7568,100.94,3.851561224489796,1303.0,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1289.8399658203125,1297.7900390625,1296.2442626953125,0.010202842622664354
2024-08-19,65764.08,34.7568,100.94,3.851561224489796,1323.3800048828125,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1303.0,1292.68994140625,1300.1199776785713,0.015640832603846855
2024-08-20,65764.08,34.7568,100.94,3.851561224489796,1328.1199951171875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1323.3800048828125,1289.8399658203125,1304.555698939732,0.003581730279198725
2024-08-21,65764.08,34.7568,100.94,3.851561224489796,1337.8299560546875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1328.1199951171875,1303.0,1310.3785574776787,0.007311056962622686
2024-08-22,65764.08,34.7568,100.94,3.851561224489796,1341.030029296875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1337.8299560546875,1323.3800048828125,1316.555698939732,0.002391988030844061
2024-08-23,65764.08,34.7568,100.94,3.851561224489796,1354.8699951171875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1341.030029296875,1328.1199951171875,1325.4385637555804,0.010320399631594368
2024-08-26,65764.08,34.7568,100.94,3.851561224489796,1364.81005859375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1354.8699951171875,1337.8299560546875,1336.1485770089287,0.007336544105623011
2024-08-27,65764.08,34.7568,100.94,3.851561224489796,1364.31005859375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1364.81005859375,1341.030029296875,1344.9071568080358,-0.0003663513445344435
2024-08-28,65764.08,34.7568,100.94,3.851561224489796,1365.719970703125,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1364.31005859375,1354.8699951171875,1350.9557233537946,0.0010334249905246118
2024-08-29,65764.08,34.7568,100.94,3.851561224489796,1357.4100341796875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1365.719970703125,1364.81005859375,1355.1400146484375,-0.006084656226531759
